idx,context,true_label,pred_label,correct,confidence,hand_scored
1407,"[seeker] Yeah, and we have been together since high school so it is really hard to think of ever marrying anyone else. He asked me to marry him but we never made it official or got rings.",Question,Self-disclosure,False,0.5415937900543213,False
310,[seeker] Im ok - tired. Yourself.,Question,Others,False,0.3904649317264557,False
177,[seeker] Hello,Question,Question,True,0.590252161026001,False
1141,[seeker] we've been together for 5 years.,Question,Restatement or Paraphrasing,False,0.3295138478279114,False
353,[seeker] I used to play videogames before. Now I'm not so sure I would enjoy them.,Question,Self-disclosure,False,0.3773718476295471,False
1429,[seeker] not so well [seeker] what about you,Question,Question,True,0.6244024634361267,False
2,"[seeker] Yes, my family is scattered all over the country, like Seattle, Georgia, PA.  I'm sure I'm not the only one with no plans this weekend, though. [supporter] True but I can understand that, it is hard being alone at the holidays.",Question,Question,True,0.5194575190544128,False
1277,"[seeker] Maybe that's why. She have different personality than me. She is more into logical thinking and she love people and has bubbly personality. While I'm emotional but are social butterfly and after a while, I would need a break from people.",Question,Self-disclosure,False,0.26821836829185486,False
1173,"[seeker] Yes exactly, thank you :)",Question,Others,False,0.39071783423423767,False
918,[seeker] i've gone for long runs and swims [seeker] well i'm going to go get ready [seeker] thank you for all your time and advice,Question,Others,False,0.650262176990509,False
1717,"[seeker] They need more money from me, but i couldn't  give  that much amount",Self-disclosure,Information,False,0.5996835231781006,False
282,[seeker] Thank you youre right i put too much on myself,Self-disclosure,Reflection of feelings,False,0.16580435633659363,False
1237,"[seeker] Never thought of it that way. That could be a possibility. But he always seems happy and we chat a lot onlythat he his behind closed doors in his room for a long time everyday. [seeker] Am also concerned about the friend who comes over. I don't really know his family or home just that he's from the neighborhood and they go to the same school. [supporter] Hmm.  My other thought is tell him what you just told me, that you have been trying to show him that you trust him....but be honest and tell him you are afraid.   Hopefully, he won't want you feeling that way, and will open up a bit.",Self-disclosure,Providing Suggestions,False,0.330277681350708,False
1696,[seeker] Yes It is frustrating. When I think about the financial issues I feel depressed,Self-disclosure,Self-disclosure,True,0.3243080973625183,False
77,"[seeker] I'm not sure how, exactly. I'm dealing with repeated rejections.",Self-disclosure,Question,False,0.42265334725379944,False
944,[seeker] I think what I do is so complicated I sometimes wonder if I've been off more than I can chew. is this something you can relate to?,Self-disclosure,Self-disclosure,True,0.6953798532485962,False
865,[seeker] What happened out of interest when you had the conversation? [supporter] Ignoring this will NOT help things. There is NO relief in pretending a question or concern does not exist.,Self-disclosure,Providing Suggestions,False,0.24489396810531616,False
947,"[seeker] Yes I suppose that is true actually. Just because I'm not good at this job, doesn't mean I wouldn't be great others. I suppose it's best to give it a go and see at least then you can say you tried. have you ever put too much pressure on yourself?",Self-disclosure,Self-disclosure,True,0.6193963289260864,False
863,[seeker] Yes it is but I should be leaving her and moving on. Problem is she is a 9 and I'm a 5 and I love her. Pretty sure she is cheating though so hopefully if I ignore it she may just leave things as they are.,Self-disclosure,Reflection of feelings,False,0.3964379131793976,False
1263,"[seeker] Well i do use my bike. But i really struggle with motivation and i know i snack too much. But i have just been too busy to spend any real time facing the problem, you know?",Self-disclosure,Providing Suggestions,False,0.36908239126205444,False
316,"[seeker] hah - i dunno. im on a team of 2 people - and i guess if i dont do it, the other person has to. or it just doesnt get done, and i dont know what happens?? nothing? LOL.",Self-disclosure,Providing Suggestions,False,0.29583969712257385,False
1097,"[seeker] I been feelinf shame, disgust, and anxiety",Self-disclosure,Question,False,0.29888156056404114,False
959,[seeker] Perhaps you could tell me what brings you joy?,Self-disclosure,Self-disclosure,True,0.339264452457428,False
1596,"[seeker] Alright, no problem, also because of the job loss i have been having insomnia and anxiety problems",Self-disclosure,Self-disclosure,True,0.5204745531082153,False
441,[seeker] I don't know. Psychologist appointments are very expensive in my country. [seeker] And without a job I do not have any insurance.,Self-disclosure,Information,False,0.48711639642715454,False
820,"[seeker] I always lose sight of how to make things better. It really helps to talk sometimes so someone can help me put things into perspective. I'll look into Frank Hammond! I am actually religious and would love to look into that. [supporter] I will definitely pray for you tonight because I know losing sleep is hard to deal with. But please have hope, sometimes we go through these things to possible get to deeper issues that might need to be dealt with. We only have a few minutes here, but I'm pretty old and I have found this to be true so many times.  Get a good support system of good friends. Having people who ""get"" you is SO vital to our lives. And learning to be grateful helps too. And especially journal, find out what may be bothering you.",Self-disclosure,Others,False,0.4140549302101135,False
535,[seeker] ok i will try it,Affirmation and Reassurance,Affirmation and Reassurance,True,0.36772677302360535,False
1559,[seeker] girlfriend. [seeker] well ex girlfriend.,Affirmation and Reassurance,Question,False,0.33350250124931335,False
1382,"[seeker] okay good advice, i will",Affirmation and Reassurance,Others,False,0.3959311246871948,False
1149,"[seeker] yes it will. but damn it sucks . I will take your advice [seeker] two more to go [supporter] Glad to hear it.  Also, once you feel you're ready, there are plenty of ways to meet new girls.  There's the obvious places like online dating or bars, but also some not so obvious like the farmers market or shopping",Affirmation and Reassurance,Providing Suggestions,False,0.25793853402137756,False
1572,[seeker] The stupid SOB went behind  my back and cut a deal. I didn't get as much as I should have. I totally didn't suspect anything because we had been friends for so long. [seeker] I guess the money was too sweet. Never again...,Affirmation and Reassurance,Reflection of feelings,False,0.4427505135536194,False
509,"[seeker] well, any plans yourself [supporter] okay, it is important to remember to look out for yourself and do what is good for you, so if he calls and wants help when he doesn't deserve it, sometimes its best to say no.",Affirmation and Reassurance,Affirmation and Reassurance,True,0.2265348881483078,False
453,[seeker] I cannot craft. If I made them something it would be so bad.,Affirmation and Reassurance,Providing Suggestions,False,0.21654655039310455,False
830,"[seeker] Thanks, I just don't want to disappoint them. They work so hard and want the best for me.",Affirmation and Reassurance,Reflection of feelings,False,0.25595200061798096,False
1392,"[seeker] Yes, it's a weird story. I am feeling very sad about it. [seeker] I think that the person just changed over time. We grew apart.",Affirmation and Reassurance,Reflection of feelings,False,0.3087509870529175,False
1298,[seeker] Yeah I have cut out some friends already. Maybe I should try talking to the more reasonable ones.,Affirmation and Reassurance,Information,False,0.5176478028297424,False
1406,"[seeker] Thank you! I can see that I am talking to someone who understands. [seeker] I am wondering if I should beg him back?? I really do love him. [supporter] I've been there too [supporter] Expecially with covid, it can be hard realiing you may be alone and it may be frusterating dating someone new",Affirmation and Reassurance,Others,False,0.2367035448551178,False
1025,[seeker] Thank youu [seeker] Not really spoken to anyone [seeker] I just felt anger and called it quits [seeker] And he woudnt stop lying about it [seeker] and feeling entitled,Affirmation and Reassurance,Reflection of feelings,False,0.3035082519054413,False
1104,[seeker] Ya your right thank you for your time,Affirmation and Reassurance,Others,False,0.5436142086982727,False
1663,[seeker] I guess I'm scared I'm going to come across weaker to them,Affirmation and Reassurance,Reflection of feelings,False,0.25108790397644043,False
496,[seeker] I don't want to involve friends or family into this,Affirmation and Reassurance,Information,False,0.305510938167572,False
1039,[seeker] It's great that you understand this. I think being the man puts more pressure on me to look after her and make sure she [seeker] she's safe etc,Affirmation and Reassurance,Self-disclosure,False,0.39135119318962097,False
1555,[seeker] You made me heart smile... thank you.. !! I am glad that I got to speak with you today!,Affirmation and Reassurance,Information,False,0.27967703342437744,False
1629,"[seeker] Now I'm waiting for to when government will opening all business [seeker] Thanks, Yes i will hope i can come from this situation [seeker] yes I'm taking some trainings online",Affirmation and Reassurance,Affirmation and Reassurance,True,0.31169751286506653,False
610,[seeker] But what if it doesn't pass? [seeker] And I cannot afford therapy.,Affirmation and Reassurance,Information,False,0.7109643220901489,False
305,"[seeker] :) Thanks I needed that. I think I might have to reinvent myself also. For sure the pay will be a lot different, it'll be like starting all over again.",Affirmation and Reassurance,Affirmation and Reassurance,True,0.2638484537601471,False
184,[seeker] I am. I knew he had it but didn't know how bad off he was until they called and told me all his organs were shutting down,Affirmation and Reassurance,Self-disclosure,False,0.29756850004196167,False
507,[seeker] surprising better when can talk about all this [seeker] and none really just staying indoors,Affirmation and Reassurance,Self-disclosure,False,0.39202964305877686,False
250,[seeker] ok,Affirmation and Reassurance,Restatement or Paraphrasing,False,0.1750919073820114,False
420,"[seeker] I have considered this many times.  Unfortunately, the next level manager doesn't respect or value my team in general.  She has made that clear.  She's also just awful and uncomfortable to talk to.  I've found her to just be mean sometimes.  It just feels so hopeless.  Just waiting for someone to notice.  Just hoping she fails. [seeker] It's just really hard to show up everyday.  But I do.  Although the days are long and exhausting with no motivation to perform.",Affirmation and Reassurance,Affirmation and Reassurance,True,0.39042195677757263,False
858,[seeker] I felt that you were very helpful. It is nice to just know that someone is listening. I do not think that there is much in the way of local resources at the moment - everyone is very stretched.,Affirmation and Reassurance,Others,False,0.5207774639129639,False
740,[seeker] I don't think so. I already feel excited to get started looking at those resources and tweaking my achievements.,Affirmation and Reassurance,Others,False,0.376960426568985,False
1326,[seeker] yes they are supporting but its difficult situation,Providing Suggestions,Reflection of feelings,False,0.2539139986038208,False
587,[seeker] it's tough when I look around and everyone seems to do better than me,Providing Suggestions,Self-disclosure,False,0.39686375856399536,False
1661,"[seeker] I feel like I eat okay and I get enough sleep, but I do work a lot. Very long days and I feel drained at the end of the day. That seems like the obvious reason, but usually I'm still able to do stuff afterwards... [seeker] So I'm not sure if that is truly why",Providing Suggestions,Self-disclosure,False,0.3236246407032013,False
1109,[seeker] no my doctor prescribed me meds but it's not working. I will try meditation see it works. any more ideas?,Providing Suggestions,Information,False,0.2919585406780243,False
967,[seeker] Yeah she is a good friend im happy that I can stay with her for the time being its just stressful trying to get to my mom,Providing Suggestions,Affirmation and Reassurance,False,0.3699106276035309,False
442,"[seeker] I have not heard of charities that does that. If I am suicidal, may be, but I guess they are not dealing with stress from normal job seekers...",Providing Suggestions,Self-disclosure,False,0.2462097406387329,False
775,[seeker] we had a lot of talks about this issue,Providing Suggestions,Information,False,0.2692362666130066,False
725,"[seeker] Okay, I hear you. Thanks. Yeah, I guess I have to really force myself.",Providing Suggestions,Self-disclosure,False,0.4373616576194763,False
1647,[seeker] I would love some additional suggestions!!,Providing Suggestions,Providing Suggestions,True,0.3719266355037689,False
1204,[seeker] that's a great idea,Providing Suggestions,Self-disclosure,False,0.2753431797027588,False
437,"[seeker] I understand, but still,
 emotionally it is hard to cope. [supporter] Are you able to cope financially whilst you are out of work?",Providing Suggestions,Self-disclosure,False,0.4834425449371338,False
982,"[seeker] Thank you for saying that. It is tough, but I just want to finally finish my Bachelor's and do something positive. [supporter] And you will succeed in that goal. You have the motivation and the care for it, you just need to focus on managing everything at once!",Providing Suggestions,Others,False,0.24966217577457428,False
1110,[seeker] hate taking meds. just keep reliving that moment. can't get it out of my head. it's killing,Providing Suggestions,Self-disclosure,False,0.3649101257324219,False
1178,[seeker] my friend stood me up and i went alone on a trip she was to go with me. I eneded up flipping all the cost and she is bad mouthing me she stood me up because she was drunk she has a drinking problem [seeker] not good [seeker] since i told her that drinking is more important to her now she is talking bad about me but she is the one with the problem. [supporter] It sounds like you are very stressed out by the situation.,Providing Suggestions,Question,False,0.3912595212459564,False
655,"[seeker] Yes, this is why, if I lose my job, my financial situation will affect the family.",Providing Suggestions,Reflection of feelings,False,0.29186874628067017,False
1082,[seeker] That's true. [seeker] It's crazy we have to experience heart ache. [seeker] To learn...,Providing Suggestions,Reflection of feelings,False,0.28293439745903015,False
997,[seeker] I agree. I just feel like the behavior is so destructive and erratic.,Providing Suggestions,Self-disclosure,False,0.36957070231437683,False
325,"[seeker] plus netflix, hulu, amazon keep releasing new shows. if i need a reason, it can simply be to watch tv and detox (so to speak) and get away from the BS of work (obv stating it more nicely than that). [supporter] This has been a stressful year for many of us, you don't need to be working yourself into depression and exhaustion.",Providing Suggestions,Providing Suggestions,True,0.3028675615787506,False
1067,[seeker] It is!,Providing Suggestions,Others,False,0.3288712501525879,False
225,[seeker] Hope you have a wonderful Holiday.,Providing Suggestions,Others,False,0.801852285861969,False
843,[seeker] I will try to talk to them. Any other advice?,Providing Suggestions,Providing Suggestions,True,0.4620746076107025,False
1374,[seeker] That's a good idea,Providing Suggestions,Self-disclosure,False,0.2501038908958435,False
1301,"[seeker] Yeah, Paul is aloof like that. But realistically maybe in the next few weeks I can have a good conversation with him.",Providing Suggestions,Providing Suggestions,True,0.2711065411567688,False
41,"[seeker] possibly, problem is that i don't want to show myself online, what do you think about wearing a full face mask and do youtube?",Providing Suggestions,Information,False,0.5041866898536682,False
1491,"[seeker] Yes, it does seem like the cycle of guilt.... I try not to let her see how much this is affecting me, but she's my mom and she can tell...",Providing Suggestions,Providing Suggestions,True,0.24588468670845032,False
728,"[seeker] Yes, I agree. I used to go to at least one concert every year. Now that's out of the question. It gets boring and a little depressing. Hopefully 2021 will be better.",Providing Suggestions,Providing Suggestions,True,0.23978668451309204,False
605,"[seeker] He's a teacher, so taking a class might remind me of him.",Providing Suggestions,Self-disclosure,False,0.3065010905265808,False
851,[seeker] I use facebook quite a lot and it helps but it cannot compensate for face to face contact. I really need to be able to see people.,Providing Suggestions,Providing Suggestions,True,0.36357155442237854,False
1368,[seeker] its hard to plan a future when i am grieving....i don't know how to make myself happy,Others,Providing Suggestions,False,0.2683475911617279,False
1102,[seeker] Ya well i just wish i had a way to get in touchwith her and let her know that im sorry not trying to get a second chance since i had my chance already and screwed it up,Others,Providing Suggestions,False,0.3352312445640564,False
281,[seeker] thats a good idea actually [seeker] I use to have a journal but havent wrote in it for years [seeker] it helped a lot [supporter] Make sure to only choose realistic goals so's not to make yourself feel despondent and do not be too hard on yourself if something does not work out!,Others,Information,False,0.2610655725002289,False
892,[seeker] Thanks for the kind words. I'll give this a try.,Others,Others,True,0.6263882517814636,False
1112,"[seeker] I will take your advice and right down my thoughts , maybe it will help the pain [seeker] I have, I've been seeing a therapist. his not much help I think but it's someone I can talk too",Others,Affirmation and Reassurance,False,0.33119267225265503,False
1314,[seeker] I don’t think I’ve ever tried banana chips! I’ll have to see if my grocery store has got them. Maybe I can get some delivered by the time I’m ready to study,Others,Information,False,0.2574877142906189,False
1623,[seeker] I lost my job recently that's why I'm very sad.,Others,Question,False,0.37920406460762024,False
1479,[seeker] Thank you again for being a wonderful listener and better friend than my best one.,Others,Others,True,0.39624181389808655,False
152,[seeker] I will if it is proof by government that is ok to take,Others,Affirmation and Reassurance,False,0.2925882041454315,False
536,"[seeker] yes thanks for advice to my situation, i feel better",Others,Others,True,0.33115747570991516,False
1270,"[seeker] Thanks, you too I have a lot to think about. But talking it out really helped. Have a nice day!",Others,Others,True,0.765070915222168,False
259,[seeker] He came back last March for what we thought at the time would be a month or two.,Others,Restatement or Paraphrasing,False,0.29749971628189087,False
380,[seeker] Thank you so much! I hope you have a good night.,Others,Others,True,0.7941781878471375,False
379,[seeker] You've been helpful and I think we've hit our minimum that we need. [seeker] Unless there is anything else from you?,Others,Others,True,0.7422054409980774,False
320,"[seeker] yeah - ill come up with reasonable boundaries till 5:30 is reasonable, and if its a do or die situation cap it at 7:30 --- and thats only for dire situations. if that doesnt work, well then i guess either i dont have a job, or people figure out how to work in regular hours.",Others,Affirmation and Reassurance,False,0.22878994047641754,False
1147,[seeker] yes I do. I like playing basketball with friends,Others,Self-disclosure,False,0.1772194504737854,False
427,[seeker] Most definitely. I feel more confident now about the anonymous reporting.  I'll gather some notes from my peers to ensure I have a viable complaint.  That's so helpful.  Thank you.,Others,Affirmation and Reassurance,False,0.28219175338745117,False
1280,[seeker] I do have other friends that I could purse the relationship farther. I think I just felt bad that I known her for years and she is a good person. It's just not what I need right now. [supporter] Sometimes we really just have to let things go. I know it's hard but it will probably good for your mental health.,Others,Providing Suggestions,False,0.30260026454925537,False
537,[seeker] thanking you support,Others,Others,True,0.44750162959098816,False
278,[seeker] Thank you [seeker] its very hard,Others,Others,True,0.3301161229610443,False
1631,[seeker] Yes I have hope and i'm thinking positive [seeker] Thanks for giving me support,Others,Others,True,0.33179643750190735,False
899,[seeker] Yeah it's easier said than done. Btw I heard Biden might forgive student loans! Yay! [seeker] Yeah cuz it bought a lot of items I needed so I'm happy I got them,Others,Affirmation and Reassurance,False,0.36120691895484924,False
73,"[seeker] For now I can't think of any, because I am totally depressed right now, I feel that the world is going to end right now",Others,Providing Suggestions,False,0.23436236381530762,False
323,"[seeker] yeah, i think a call to not just my boss is in order, but also HR to advise them of the situation. they need to start telling managers, we are NOT front of the line workers, nor police, fire, etc. our jobs are not THAT important.",Others,Affirmation and Reassurance,False,0.22814448177814484,False
485,"[seeker] yes. its better to be alone than with a partner who didn't understand us. really you are awesome mam ! there is a lot to learn from you ! [seeker] i feel like you can clearly see through my mind. [supporter] Thank you! You are so very kind! And you are very sweet too, willing to hear the truth! That is an admirable quality!  You deserve a partner willing to work on problems, not a quitter.",Others,Others,True,0.29034677147865295,False
938,[seeker] No I feel a little better [seeker] thank you for your time :),Others,Others,True,0.6841537356376648,False
1494,"[seeker] Oh that's a really good idea! That might be something we can do. It won't be quite the same, but it's better than nothing. I'll ask my mom's doctor if that will be okay. [seeker] Thank you. Hopefully it will, and hopefully she will be able to get the vaccine soon, too. [supporter] Yeah! I hope that works out for you. I've been finding getting outside and doing things with others has been helpful both for social and exercise.",Others,Others,True,0.42065665125846863,False
950,[seeker] Hello [seeker] Are you there?,Others,Others,True,0.49366649985313416,False
1593,"[seeker] Yes, i lost my 9 - 5 job last week, and considering the pandemic, it makes me anxious and scared",Others,Self-disclosure,False,0.4425566494464874,False
963,[seeker] My boyfriend broke up with me because we kept fighting and now I have no money and no place to stay,Others,Reflection of feelings,False,0.45691627264022827,False
1044,"[seeker] Yes, I think I need to emphasize the friends element of it and potentially support her to move on. I suppose I'm fearful that it will never end but I'll need to face into that and stay strong, and obviously avoid being intimate as this would really hurt her if I continued to sleep with her. I need to be careful about that I think!",Reflection of feelings,Providing Suggestions,False,0.27202630043029785,False
546,"[seeker] Too much politics behand the virus and helping the people. [seeker] Florida is mandatory, but Georgia is lacks. Tennessee is mandatory but other states are not as caring.",Reflection of feelings,Self-disclosure,False,0.2597886621952057,False
1310,[seeker] I’m sure I can figure something out. I’ll definitely have to study all weekend. I just really need to pass. Do you know any good tricks to help study?,Reflection of feelings,Providing Suggestions,False,0.5067933797836304,False
67,[seeker] This person is a good person to every one I didn't pray for this at all,Reflection of feelings,Affirmation and Reassurance,False,0.2714722156524658,False
928,[seeker] I've looked around and there arn't any good tutoring services for my field of study [seeker] I've tried reaching out for help but Im still doing poorly,Reflection of feelings,Self-disclosure,False,0.24169781804084778,False
1257,[seeker] I will try that out as well if listening to relaxing sounds doesn't help. Thank you very much for responding to my questions and needs!,Reflection of feelings,Others,False,0.5296341180801392,False
1441,[seeker] Frustrated and anxious,Reflection of feelings,Question,False,0.583063542842865,False
550,[seeker] I wear mine for my own protection. What about you? [seeker] I have to travel to Virginia soon and I want to arrive clean [seeker] I am only traveling now because of issues otherwise I would be in FLorida [seeker] I miss the bneaches [supporter] I wear mine to protect other people.... I do have health issues that could complicate things but I dont thing it will stop me from getting it.,Reflection of feelings,Self-disclosure,False,0.6015378832817078,False
220,[seeker] Due to the COVID cases right now I am trying to not risk the safety of others and myself. I don't know that going up to her house would be the best option at this moment :(,Reflection of feelings,Information,False,0.44539332389831543,False
