idx,level,strategy,context,response,word_count,input_tokens,output_tokens,latency_seconds,meta_commentary_stripped,leading_header_stripped,condition,true_label,pred_label,correct
95,2,Affirmation and Reassurance,"[seeker] I am still working right now.  Luckily, California has plenty of money for bureacrats lie myself. [seeker] I contributed to the marriage for sure. [seeker] I love my wife and my great kids",That's wonderful—your love for your family and your commitment to your work show real strength. You're clearly someone who cares deeply about contributing meaningfully. Hold onto those values; they matter.,30,153,43,1.289,False,False,predicted,Others,Affirmation and Reassurance,False
95,4,Affirmation and Reassurance,"[seeker] I am still working right now.  Luckily, California has plenty of money for bureacrats lie myself. [seeker] I contributed to the marriage for sure. [seeker] I love my wife and my great kids",You're demonstrating real commitment by continuing to show up for work and your family despite this strain. That dedication to both your job and the people you love speaks volumes about your character.,33,434,40,1.149,False,False,predicted,Others,Affirmation and Reassurance,False
137,2,Reflection of feelings,"[seeker] I tried to baker act her after she tried to call the cops on me randomly [seeker] It ended up them asking dumb questions like if she knows what day it is [seeker] letting her free [seeker] somehow ending up with her getting herself hospitalized 2 weeks later 
for low hemoglobin.","It sounds like you've been through something really frustrating—trying to help her, feeling like the system didn't take it seriously, and then watching her end up hospitalized anyway. That must feel helpless and exhausting.",34,168,49,1.394,False,False,predicted,Information,Reflection of feelings,False
137,4,Reflection of feelings,"[seeker] I tried to baker act her after she tried to call the cops on me randomly [seeker] It ended up them asking dumb questions like if she knows what day it is [seeker] letting her free [seeker] somehow ending up with her getting herself hospitalized 2 weeks later 
for low hemoglobin.","It sounds like you're feeling frustrated and helpless—you tried to get her proper help, but the system didn't take it seriously, and now you're watching her struggle with health issues you couldn't prevent.",33,442,46,1.42,False,False,predicted,Information,Reflection of feelings,False
152,2,Affirmation and Reassurance,[seeker] I will if it is proof by government that is ok to take,"I hear you wanting to do things the right way—that shows real integrity. Getting official documentation is a thoughtful approach. You're taking responsible steps, and that's something to feel good about.",31,117,43,1.161,False,False,predicted,Others,Affirmation and Reassurance,False
152,4,Affirmation and Reassurance,[seeker] I will if it is proof by government that is ok to take,That's a responsible boundary you're setting for yourself—requiring official verification shows you're thinking carefully about what's safe to accept and act on.,22,398,32,1.055,False,False,predicted,Others,Affirmation and Reassurance,False
157,2,Question,"[seeker] Hello, I'm feeling a lot of anxiety.","I hear you're experiencing anxiety. To better understand what you're going through, could you tell me a bit more? What's been on your mind lately, or is there something specific triggering these anxious feelings?",34,107,47,1.471,False,False,predicted,Question,Question,True
157,4,Question,"[seeker] Hello, I'm feeling a lot of anxiety.",What's happening right now that's bringing up this anxiety for you?,11,367,17,0.788,False,False,predicted,Question,Question,True
177,2,Question,[seeker] Hello,"Hi there! I'm glad you reached out. I'm here to listen and support you. What's been on your mind lately, or is there something specific you'd like to talk about today?",31,98,43,1.246,False,False,predicted,Question,Question,True
177,4,Question,[seeker] Hello,"What's brought you here today, and what's weighing on your mind right now?",13,358,21,0.759,False,False,predicted,Question,Question,True
179,2,Question,"[seeker] It's pretty okay things could always be better though [supporter] yes, that is good, I love your courage .",I'm glad you're holding up okay. What's one area where you'd like things to improve the most right now? Understanding what matters most to you would help me support you better.,31,121,41,1.216,False,False,predicted,Question,Question,True
179,4,Question,"[seeker] It's pretty okay things could always be better though [supporter] yes, that is good, I love your courage .",What would need to shift or improve in your life right now to move things from okay toward where you'd like them to be?,24,381,29,1.031,False,False,predicted,Question,Question,True
184,2,Self-disclosure,[seeker] I am. I knew he had it but didn't know how bad off he was until they called and told me all his organs were shutting down,I'm so sorry you're going through this. I've seen how shocking that call can be—when you realize things are far worse than you thought. That must have been incredibly painful to hear.,32,128,43,1.178,False,False,predicted,Affirmation and Reassurance,Self-disclosure,False
184,4,Self-disclosure,[seeker] I am. I knew he had it but didn't know how bad off he was until they called and told me all his organs were shutting down,"When my uncle had his crisis, I wasn't prepared for how quickly things escalated either. The call came out of nowhere, and suddenly everything felt urgent and overwhelming.",28,418,37,1.131,False,False,predicted,Affirmation and Reassurance,Self-disclosure,False
205,2,Reflection of feelings,"[seeker] It was like one day we were soooo busy that we had a waiting list the whole day, then the next it was crickets [seeker] It didnt help when they forced us to start closing by 10 [seeker] We just created this amazing winter wonderland and i get to go in this little hut out there and stand by a heater and serve people holday drinks all by myself. its amazing [seeker] i cant lose that",I hear how much this hut and those holiday drinks mean to you—there's real joy there. It sounds like you're worried about losing something that's become special and important to you.,31,195,42,1.057,False,False,predicted,Question,Reflection of feelings,False
205,4,Reflection of feelings,"[seeker] It was like one day we were soooo busy that we had a waiting list the whole day, then the next it was crickets [seeker] It didnt help when they forced us to start closing by 10 [seeker] We just created this amazing winter wonderland and i get to go in this little hut out there and stand by a heater and serve people holday drinks all by myself. its amazing [seeker] i cant lose that","There's a real anxiety underneath all this—you're caught between the drastic shift from overwhelming busyness to sudden quiet, and now you're clinging to something meaningful you've created because you're afraid of losing it.",33,469,49,1.17,False,False,predicted,Question,Reflection of feelings,False
214,2,Restatement or Paraphrasing,[seeker] I had misunderstanding with my friend and I have fear that I am gonna loose her,"I hear you—you had a misunderstanding with your friend, and now you're worried it might damage your relationship and that you could lose her. That sounds really stressful.",28,125,41,1.136,False,False,predicted,Information,Restatement or Paraphrasing,False
214,4,Restatement or Paraphrasing,[seeker] I had misunderstanding with my friend and I have fear that I am gonna loose her,You're worried that this disagreement with your friend might end your relationship with her?,14,396,20,0.76,False,False,predicted,Information,Restatement or Paraphrasing,False
220,2,Information,[seeker] Due to the COVID cases right now I am trying to not risk the safety of others and myself. I don't know that going up to her house would be the best option at this moment :(,"That's thoughtful of you. Current CDC guidelines suggest virtual visits are safer during high case counts. Video calls, phone chats, or messaging can maintain connection while protecting everyone's health. What matters most is staying in touch.",36,133,49,1.411,False,False,predicted,Reflection of feelings,Information,False
220,4,Information,[seeker] Due to the COVID cases right now I am trying to not risk the safety of others and myself. I don't know that going up to her house would be the best option at this moment :(,"COVID transmission risk is highest indoors with prolonged close contact, especially without ventilation. Meeting outdoors or via video call significantly reduces that risk if you're concerned about exposure.",28,414,39,1.096,False,False,predicted,Reflection of feelings,Information,False
225,2,Others,[seeker] Hope you have a wonderful Holiday.,"Thank you so much, and I hope you have a wonderful Holiday too! It's nice to connect with you. I'm here whenever you need someone to talk to. Take care of yourself! 🎄",33,104,46,1.076,False,False,predicted,Providing Suggestions,Others,False
225,4,Others,[seeker] Hope you have a wonderful Holiday.,That's kind of you to say! I hope your holidays bring you some peace and good moments too. Thanks for being here.,22,327,29,1.105,False,False,predicted,Providing Suggestions,Others,False
235,2,Providing Suggestions,"[seeker] Okay, thanks for the suggestions. [supporter] I have purchased a lot of stuff from walmart and resold it on EBAY","That's a practical way to generate income! If you're looking to expand, you might consider sourcing from other wholesale retailers or liquidation outlets to increase your profit margins and product variety.",31,125,41,1.103,False,False,predicted,Restatement or Paraphrasing,Providing Suggestions,False
235,4,Providing Suggestions,"[seeker] Okay, thanks for the suggestions. [supporter] I have purchased a lot of stuff from walmart and resold it on EBAY","Since you've had success with that model, consider reaching out to local thrift stores or estate sales to source inventory at lower costs and potentially increase your profit margins.",29,431,36,1.169,False,False,predicted,Restatement or Paraphrasing,Providing Suggestions,False
250,2,Restatement or Paraphrasing,[seeker] ok,I'm here to listen and support you. It sounds like you're ready to talk about what's on your mind. Take your time—I'm here whenever you want to share what you're going through.,32,108,45,0.892,False,False,predicted,Affirmation and Reassurance,Restatement or Paraphrasing,False
250,4,Restatement or Paraphrasing,[seeker] ok,I'm ready to listen and help. What's on your mind right now?,12,379,19,0.74,False,False,predicted,Affirmation and Reassurance,Restatement or Paraphrasing,False
259,2,Restatement or Paraphrasing,[seeker] He came back last March for what we thought at the time would be a month or two.,"So he returned last March, and at that point you both expected it would be just a short stay—maybe a month or two. Is that right?",26,126,34,1.451,False,False,predicted,Others,Restatement or Paraphrasing,False
259,4,Restatement or Paraphrasing,[seeker] He came back last March for what we thought at the time would be a month or two.,"So someone important came back into your life around March, and you both expected it to be temporary?",18,397,23,0.883,False,False,predicted,Others,Restatement or Paraphrasing,False
271,2,Information,[seeker] no its all on me,"I hear you taking responsibility, but that's not how relationships typically work. Most situations involve contributions from both people. Would it help to talk through what specifically you're blaming yourself for?",31,98,41,1.276,False,False,predicted,Information,Information,True
271,4,Information,[seeker] no its all on me,"When situations feel like they're entirely your responsibility, it's worth noting that most complex problems involve multiple factors beyond any one person's control.",23,379,31,1.132,False,False,predicted,Information,Information,True
278,2,Others,[seeker] Thank you [seeker] its very hard,"I hear you—it sounds like you're carrying a lot right now. I'm here with you through this. Would it help to talk more about what's weighing on you, or would you prefer just to take things one moment at a time?",41,106,54,1.023,False,False,predicted,Others,Others,True
278,4,Others,[seeker] Thank you [seeker] its very hard,You're welcome. It sounds like you're going through something really tough right now. I'm here if you want to talk more about it.,23,329,32,0.754,False,False,predicted,Others,Others,True
281,2,Information,[seeker] thats a good idea actually [seeker] I use to have a journal but havent wrote in it for years [seeker] it helped a lot [supporter] Make sure to only choose realistic goals so's not to make yourself feel despondent and do not be too hard on yourself if something does not work out!,"Research shows journaling can reduce stress and anxiety significantly. Even a few minutes daily helps—there's no pressure to write perfectly or extensively. Starting small, like 3 times weekly, often works better than ambitious daily goals.",35,160,49,1.276,False,False,predicted,Others,Information,False
281,4,Information,[seeker] thats a good idea actually [seeker] I use to have a journal but havent wrote in it for years [seeker] it helped a lot [supporter] Make sure to only choose realistic goals so's not to make yourself feel despondent and do not be too hard on yourself if something does not work out!,Journaling has been shown to help reduce stress and anxiety by giving your thoughts a concrete outlet. Returning to it could tap into what already worked for you before.,29,441,37,1.177,False,False,predicted,Others,Information,False
282,2,Reflection of feelings,[seeker] Thank you youre right i put too much on myself,It sounds like you're feeling the weight of carrying too much responsibility. That recognition itself shows real self-awareness. It's okay to acknowledge when you need to ease up on yourself.,30,109,40,1.015,False,False,predicted,Self-disclosure,Reflection of feelings,False
282,4,Reflection of feelings,[seeker] Thank you youre right i put too much on myself,"You're recognizing that weight you've been carrying—that pressure you placed on your own shoulders. There's some relief in seeing that pattern, even if it feels heavy to acknowledge right now.",30,383,42,1.364,False,False,predicted,Self-disclosure,Reflection of feelings,False
286,2,Question,[seeker] I'm doing ok,"That's good to hear. I'm here to listen and help. What's been on your mind lately, or is there something specific you'd like to talk about today?",27,101,38,1.193,False,False,predicted,Question,Question,True
286,4,Question,[seeker] I'm doing ok,What's been going on in your life that's contributing to you feeling okay right now?,15,361,21,0.905,False,False,predicted,Question,Question,True
305,2,Affirmation and Reassurance,"[seeker] :) Thanks I needed that. I think I might have to reinvent myself also. For sure the pay will be a lot different, it'll be like starting all over again.","That takes real courage to recognize that about yourself. Starting over is challenging, but you've already shown the strength to face this honestly. You have what it takes to build something new—give yourself credit for that.",36,141,46,1.044,False,False,predicted,Affirmation and Reassurance,Affirmation and Reassurance,True
305,4,Affirmation and Reassurance,"[seeker] :) Thanks I needed that. I think I might have to reinvent myself also. For sure the pay will be a lot different, it'll be like starting all over again.","You're recognizing something important about yourself—that you're willing to rebuild rather than stay stuck. That kind of adaptability, even when the financial reset feels daunting, shows real resilience.",28,422,44,1.167,False,False,predicted,Affirmation and Reassurance,Affirmation and Reassurance,True
310,2,Others,[seeker] Im ok - tired. Yourself.,"I'm doing well, thanks for asking! Sounds like you've had a long day. Sometimes rest is exactly what we need. I'm here whenever you want to talk about what's on your mind, or we can just chat if that feels better.",41,105,55,1.324,False,False,predicted,Question,Others,False
310,4,Others,[seeker] Im ok - tired. Yourself.,"Doing alright, thanks for asking. Sounds like you've got a lot on your plate—hope you can get some rest soon.",20,328,32,1.004,False,False,predicted,Question,Others,False
316,2,Providing Suggestions,"[seeker] hah - i dunno. im on a team of 2 people - and i guess if i dont do it, the other person has to. or it just doesnt get done, and i dont know what happens?? nothing? LOL.","Have you considered talking to your manager about the workload? They might help clarify what happens if tasks don't get done, or redistribute responsibilities. Getting clarity could ease some of that pressure you're feeling.",34,150,45,1.163,False,False,predicted,Self-disclosure,Providing Suggestions,False
316,4,Providing Suggestions,"[seeker] hah - i dunno. im on a team of 2 people - and i guess if i dont do it, the other person has to. or it just doesnt get done, and i dont know what happens?? nothing? LOL.",Maybe it's worth finding out what actually happens if that task doesn't get done—could give you clarity on whether it's truly essential or if the pressure you're feeling is bigger than the actual consequence.,34,456,44,1.134,False,False,predicted,Self-disclosure,Providing Suggestions,False
319,2,Question,"[seeker] Well, I have to set boundaries, because working till 11pm most nights is not sustainable. and who on earth is going to view, let alone sign a contract at 12am [supporter] I think that would be the first step. Determine how many hours you feel you COULD work. Then advise them that is what you will do. Find out what kind of timelines there are, and if you can't do it, don't go beyond your boundaries. It is obviously destroying your life. It really isn't healthy for you.",That makes sense that you're drawing a line. Can you think about what a realistic end time would be for you each day? And what would happen if you communicated that boundary to your employer or clients?,37,210,45,1.162,False,False,predicted,Reflection of feelings,Question,False
319,4,Question,"[seeker] Well, I have to set boundaries, because working till 11pm most nights is not sustainable. and who on earth is going to view, let alone sign a contract at 12am [supporter] I think that would be the first step. Determine how many hours you feel you COULD work. Then advise them that is what you will do. Find out what kind of timelines there are, and if you can't do it, don't go beyond your boundaries. It is obviously destroying your life. It really isn't healthy for you.",What would need to happen at work for you to feel comfortable pushing back on these late-night requests without worrying about the consequences?,23,470,30,1.02,False,False,predicted,Reflection of feelings,Question,False
320,2,Affirmation and Reassurance,"[seeker] yeah - ill come up with reasonable boundaries till 5:30 is reasonable, and if its a do or die situation cap it at 7:30 --- and thats only for dire situations. if that doesnt work, well then i guess either i dont have a job, or people figure out how to work in regular hours.","That's a really healthy boundary to set, and I'm genuinely impressed by your clarity here. You're prioritizing your wellbeing while still being flexible—that's strength. You've got this, and you should feel confident in standing firm.",35,174,54,1.53,False,False,predicted,Others,Affirmation and Reassurance,False
320,4,Affirmation and Reassurance,"[seeker] yeah - ill come up with reasonable boundaries till 5:30 is reasonable, and if its a do or die situation cap it at 7:30 --- and thats only for dire situations. if that doesnt work, well then i guess either i dont have a job, or people figure out how to work in regular hours.","You're setting clear limits that protect your wellbeing while staying flexible for genuine emergencies. That's thoughtful boundary-setting, not inflexibility.",19,455,35,1.057,False,False,predicted,Others,Affirmation and Reassurance,False
323,2,Affirmation and Reassurance,"[seeker] yeah, i think a call to not just my boss is in order, but also HR to advise them of the situation. they need to start telling managers, we are NOT front of the line workers, nor police, fire, etc. our jobs are not THAT important.","You're absolutely right to take action—that's a really smart and assertive move. Speaking up to both your boss and HR shows you're advocating for yourself and your team. That kind of boundary-setting takes courage, and it's exactly what's needed here.",40,161,58,1.189,False,False,predicted,Others,Affirmation and Reassurance,False
323,4,Affirmation and Reassurance,"[seeker] yeah, i think a call to not just my boss is in order, but also HR to advise them of the situation. they need to start telling managers, we are NOT front of the line workers, nor police, fire, etc. our jobs are not THAT important.",You're showing real clarity about what needs to happen and the courage to escalate appropriately. That directness—naming the actual stakes of your role—is exactly what leadership needs to hear from someone in your position.,34,442,47,1.211,False,False,predicted,Others,Affirmation and Reassurance,False
325,2,Providing Suggestions,"[seeker] plus netflix, hulu, amazon keep releasing new shows. if i need a reason, it can simply be to watch tv and detox (so to speak) and get away from the BS of work (obv stating it more nicely than that). [supporter] This has been a stressful year for many of us, you don't need to be working yourself into depression and exhaustion.","Maybe set specific ""wind-down"" evenings where you give yourself permission to just enjoy a show guilt-free? That way you're honoring both your need to decompress and your work commitments. You deserve that balance.",33,179,50,1.323,False,False,predicted,Providing Suggestions,Providing Suggestions,True
325,4,Providing Suggestions,"[seeker] plus netflix, hulu, amazon keep releasing new shows. if i need a reason, it can simply be to watch tv and detox (so to speak) and get away from the BS of work (obv stating it more nicely than that). [supporter] This has been a stressful year for many of us, you don't need to be working yourself into depression and exhaustion.",What if you set one specific show you're genuinely excited about and let yourself enjoy it guilt-free this week? That way the decompression feels intentional rather than something you need to justify.,32,485,44,1.281,False,False,predicted,Providing Suggestions,Providing Suggestions,True
353,2,Self-disclosure,[seeker] I used to play videogames before. Now I'm not so sure I would enjoy them.,"I totally get that – I've felt disconnected from things I loved too. Sometimes our interests shift, or we're just in a different place mentally. What do you think changed for you?",32,118,42,1.23,False,False,predicted,Question,Self-disclosure,False
353,4,Self-disclosure,[seeker] I used to play videogames before. Now I'm not so sure I would enjoy them.,"I went through something similar—picked up a game I loved years ago and felt disconnected from it. Sometimes our interests shift, and that's okay to sit with.",27,408,37,1.09,False,False,predicted,Question,Self-disclosure,False
379,2,Others,[seeker] You've been helpful and I think we've hit our minimum that we need. [seeker] Unless there is anything else from you?,"I'm so glad I could help! You've got this, and remember—reach out anytime you need someone to talk to. Take care of yourself, and I'm wishing you all the best moving forward. 💙",33,125,50,1.03,False,False,predicted,Others,Others,True
379,4,Others,[seeker] You've been helpful and I think we've hit our minimum that we need. [seeker] Unless there is anything else from you?,I'm glad I could help. Feel free to reach out anytime you need to talk through things. Take care of yourself.,21,348,29,0.97,False,False,predicted,Others,Others,True
380,2,Others,[seeker] Thank you so much! I hope you have a good night.,"You're so welcome! Thank you for sharing with me tonight—it took courage. Take care of yourself, and remember, I'm here whenever you need to talk. Wishing you all the best. Good night!",32,110,48,1.102,False,False,predicted,Others,Others,True
380,4,Others,[seeker] Thank you so much! I hope you have a good night.,"You're welcome! Take care of yourself, and I hope things start looking up for you soon.",16,333,23,0.912,False,False,predicted,Others,Others,True
381,2,Restatement or Paraphrasing,[seeker] I'm feeling kind of down lately. I feel like most of my friends have been avoiding me.,"It sounds like you've noticed your friends pulling away from you lately, and that's making you feel pretty down. That must be really difficult to experience.",26,127,34,0.909,False,False,predicted,Restatement or Paraphrasing,Restatement or Paraphrasing,True
381,4,Restatement or Paraphrasing,[seeker] I'm feeling kind of down lately. I feel like most of my friends have been avoiding me.,"It sounds like you've been noticing your friends keeping their distance from you, and that's been weighing on you.",19,398,28,1.127,False,False,predicted,Restatement or Paraphrasing,Restatement or Paraphrasing,True
383,2,Reflection of feelings,"[seeker] No. I fear that I might get turned down. They are usually the ones that ask me out, and they haven't been doing that for weeks.","It sounds like you're feeling anxious and maybe a bit rejected, especially since the dynamic has shifted. That uncertainty about how they might respond is understandably making you hesitant to take that step yourself.",34,129,46,1.893,False,False,predicted,Reflection of feelings,Reflection of feelings,True
383,4,Reflection of feelings,"[seeker] No. I fear that I might get turned down. They are usually the ones that ask me out, and they haven't been doing that for weeks.","It sounds like you're feeling anxious about rejection, especially since the dynamic has shifted and you're noticing they've pulled back from pursuing you lately.",24,403,34,1.109,False,False,predicted,Reflection of feelings,Reflection of feelings,True
384,2,Reflection of feelings,[seeker] You are saying that I have perhaps missinterpreted the whole situation?,"It sounds like you're feeling uncertain about how you've understood things, and maybe a bit confused about what might actually be happening. That uncertainty can be really difficult to sit with. What feelings come up strongest for you right now?",40,113,49,1.224,False,False,predicted,Restatement or Paraphrasing,Reflection of feelings,False
384,4,Reflection of feelings,[seeker] You are saying that I have perhaps missinterpreted the whole situation?,"It sounds like you're feeling uncertain right now—questioning whether you've been reading the situation correctly, and that creates doubt about what you thought you knew.",25,387,34,1.04,False,False,predicted,Restatement or Paraphrasing,Reflection of feelings,False
400,2,Others,"[seeker] No, althought I prefer those than help lines.",That's totally understandable. Many people find one-on-one conversations more comfortable than phone lines. I'm glad you're here chatting with me. How are you doing right now?,26,108,43,1.284,False,False,predicted,Restatement or Paraphrasing,Others,False
400,4,Others,"[seeker] No, althought I prefer those than help lines.",That makes sense—talking things through with someone directly can feel more personal than a phone line. What works best for you right now?,23,331,30,1.041,False,False,predicted,Restatement or Paraphrasing,Others,False
406,2,Self-disclosure,[seeker] Well I think I rather not accept it and just end my life. Seems easier.,"I hear that hopelessness. I've felt overwhelmed like that too, where everything seemed impossible. But those feelings can shift. Please reach out to a crisis line—they're trained to help when it feels this dark. You deserve support through this.",39,116,55,1.435,False,False,predicted,Restatement or Paraphrasing,Self-disclosure,False
406,4,Self-disclosure,[seeker] Well I think I rather not accept it and just end my life. Seems easier.,"I've felt that pull toward giving up before, when everything seemed impossibly heavy. What's making things feel so unbearable right now? Let's talk through what's weighing on you.",28,406,43,1.535,False,False,predicted,Restatement or Paraphrasing,Self-disclosure,False
409,2,Question,[seeker] How are you? [supporter] Sorry I was temporarily distracted. Is there anything that you'd like to talk to me about?,I'm here and ready to listen. What's been on your mind lately? Is there something specific that's been bothering you or weighing on you that you'd like to share?,29,124,41,0.936,False,False,predicted,Question,Question,True
409,4,Question,[seeker] How are you? [supporter] Sorry I was temporarily distracted. Is there anything that you'd like to talk to me about?,What's been on your mind lately that brought you here to talk today?,13,384,18,0.743,False,False,predicted,Question,Question,True
420,2,Affirmation and Reassurance,"[seeker] I have considered this many times.  Unfortunately, the next level manager doesn't respect or value my team in general.  She has made that clear.  She's also just awful and uncomfortable to talk to.  I've found her to just be mean sometimes.  It just feels so hopeless.  Just waiting for someone to notice.  Just hoping she fails. [seeker] It's just really hard to show up everyday.  But I do.  Although the days are long and exhausting with no motivation to perform.","I hear how exhausted you are, and I want you to know—showing up every day despite this pain takes real strength. You're doing something incredibly difficult. That resilience matters, even when it doesn't feel noticed right now.",37,214,51,1.27,False,False,predicted,Affirmation and Reassurance,Affirmation and Reassurance,True
420,4,Affirmation and Reassurance,"[seeker] I have considered this many times.  Unfortunately, the next level manager doesn't respect or value my team in general.  She has made that clear.  She's also just awful and uncomfortable to talk to.  I've found her to just be mean sometimes.  It just feels so hopeless.  Just waiting for someone to notice.  Just hoping she fails. [seeker] It's just really hard to show up everyday.  But I do.  Although the days are long and exhausting with no motivation to perform.","Your consistency in showing up despite the drain shows real resilience. That takes genuine strength—not waiting passively, but choosing to be present even when it's exhausting.",26,495,38,1.091,False,False,predicted,Affirmation and Reassurance,Affirmation and Reassurance,True
427,2,Affirmation and Reassurance,[seeker] Most definitely. I feel more confident now about the anonymous reporting.  I'll gather some notes from my peers to ensure I have a viable complaint.  That's so helpful.  Thank you.,"You're doing the right thing by taking thoughtful action. Gathering input from your peers shows real courage and wisdom. I'm confident you'll handle this well. You've got this, and I'm here if you need support along the way.",38,144,53,1.228,False,False,predicted,Others,Affirmation and Reassurance,False
427,4,Affirmation and Reassurance,[seeker] Most definitely. I feel more confident now about the anonymous reporting.  I'll gather some notes from my peers to ensure I have a viable complaint.  That's so helpful.  Thank you.,"You're taking a thoughtful, methodical approach by gathering concrete evidence—that's exactly the kind of preparation that strengthens a report. Your diligence here will serve you well.",26,425,41,1.189,False,False,predicted,Others,Affirmation and Reassurance,False
437,2,Self-disclosure,"[seeker] I understand, but still,
 emotionally it is hard to cope. [supporter] Are you able to cope financially whilst you are out of work?",I hear you—emotions and finances often tangle together. I've felt that anxiety too when facing uncertainty. It's completely valid. What specific part feels most overwhelming right now?,27,130,39,1.295,False,False,predicted,Providing Suggestions,Self-disclosure,False
437,4,Self-disclosure,"[seeker] I understand, but still,
 emotionally it is hard to cope. [supporter] Are you able to cope financially whilst you are out of work?","When I was between jobs, the financial stress was manageable, but the emotional toll of not working—that's what really got to me. How are you holding up with all of that weighing on you?",34,420,46,1.113,False,False,predicted,Providing Suggestions,Self-disclosure,False
